safety_score,,service_score,on_time_score,score,,name,country_code,country_name,region,year_founded,years_in_operation,alliance,fleet_size,monthly_flights,flights_delayed_percentage,average_delay_minutes,eu_banned,us_banned,banned,odds_fatal,years_until_fatal,,fatal_accidents,full_loss_equivalent,,last_fatal_accident,,,,,,,,url,,gdp_per_capita,,,,,,,,,,,,,,
⚠️           SAFETY SCORE       ,🍃           NEVER CRASHED,😊           SERVICE SCORE       ,⏰                      ON TIME SCORE,✈️           AIRLINE LIST SCORE       ,,Airline,,,,Founded,,Alliance,Fleet size,Flights/month (Oct 2018) ,% of flight delayed (Oct 2018),Average delay in minutes (Oct 2018),EU ban,FAA ban,,1 in...estimated odds of fatal accident per trip (*based on planes lost / fleet size * avg 6 trips per day * 30 years) ,Fatal accident if going non-stop for,,Fatal accidents (since 1970),"Fatal accidents in FLE (since 1970) * Full Loss Equivalent = The sum of the proportions of passengers killed for each fatal event. For example, 50 out of 100 passengers killed on a flight is an FLE of 0.50, 1 of 100 would be a FLE of 0.01. The fatal event rate for a set of fatal events is found by dividing the total FLE by the number of flights in millions.",FLE / year,Last fatal accident (after 1970),FLE / 1000x fleet size,Flight-report.com economy service ranking (out of 10),Airlineratings.com Safety (out of 7),Customer service rating (Skytrax normalized) (out of 5),Airhelp.com On-Time Performance (out of 10),Airhelp.com Quality of Service (out of 10),Airhelp.com Delay Claim Processing (out of 10),Website,Website rating,GDP per capita (nominal) in airline country,Sources,,,,,,,,,,,,,
4.93,,3.61,3.89,4.19,,Saudia,🇸🇦,Saudi Arabia,Middle East,1945,48,Sky Team,185,"16,965",25.54%,45.9,,,0 ,"9,681,851 ","4,421",years,4,2.01,0.04,2005,10.86,6.7,7,3.75,8.1,7.8,6,saudia.com,,"$19,817",Fleet size,https://www.planespotters.net/airline/Saudi-Arabian-Airlines,Founded,http://www.planecrashinfo.com/accidents.htm,Full Loss Equivalents,http://www.airsafe.com/airline.htm,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,Flight-report.com score,https://flight-report.com/en/ranking/economy,Delays,https://www.flightstats.com/v2/monthly-performance-reports/airlines
4.51,,3.88,,4.19,,China Airlines Taiwan,🇹🇼,Taiwan,Asia,1959,48,Sky Team,87,,,,,,0 ,"1,421,072 ",649,years,10,6.44,0.13,2002,74.02,8,7,3.75,,,,,,"$8,126",Fleet size,https://www.planespotters.net/airline/China-Airlines,Founded,http://www.planecrashinfo.com/accidents.htm,Full Loss Equivalents,http://www.airsafe.com/airline.htm,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,Flight-report.com score,https://flight-report.com/en/ranking/economy,,
5.00,Never,3.53,3.90,4.19,,Icelandair,🇮🇸,Iceland,Europe,1950,48,A4E,35,,,,,,0 ,,,,0,0.00,0.00,,0.00,6.9,7,3.13,7.8,6.3,8,icelandair.com,,"$60,966",Fleet size,https://en.wikipedia.org/wiki/Icelandair,Founded,http://www.planecrashinfo.com/accidents.htm,Full Loss Equivalents,http://www.airsafe.com/airline.htm,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,Flight-report.com score,https://flight-report.com/en/ranking/economy,,
4.97,,3.39,4.22,4.19,,Delta Air Lines,🇺🇸,United States,North America,1929,48,Sky Team,850,"161,476",12.21%,59.9,,,0 ,"21,088,019 ","9,629",years,7,4.24,0.09,2006,4.99,6.9,7,2.50,8.1,6.5,7.4,delta.com,,"$57,808",,,Founded,http://www.planecrashinfo.com/accidents.htm,Full Loss Equivalents,http://www.airsafe.com/airline.htm,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,Flight-report.com score,https://flight-report.com/en/ranking/economy,Delays,https://www.flightstats.com/v2/monthly-performance-reports/airlines
4.61,,3.75,,4.18,,Gulf Air,🇧🇭,Bahrain,Middle East,1950,48,,33,,,,,,0 ,"1,780,172 ",813,years,2,1.95,0.04,2000,59.09,,7,3.75,,,,gulfair.com,,"$22,579",Fleet size,https://en.wikipedia.org/wiki/Gulf_Air,Founded,https://en.wikipedia.org/wiki/Gulf_Air,Full Loss Equivalents,http://www.airsafe.com/airline.htm,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,,,,
4.97,,4.35,2.20,4.17,,ANA Japan,🇯🇵,Japan,Asia,1958,48,Star Alliance,232,"29,599",11.98%,32.9,,,0 ,"24,404,544 ","11,144",years,1,1.00,0.02,1971,4.31,7.4,7,5.00,,,,ana.co.jp,,"$38,640",Fleet size,https://en.wikipedia.org/wiki/All_Nippon_Airways,Founded,http://www.planecrashinfo.com/accidents.htm,Full Loss Equivalents,http://www.airsafe.com/airline.htm,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,Flight-report.com score,https://flight-report.com/en/ranking/economy,Delays,https://www.flightstats.com/v2/monthly-performance-reports/airlines
4.94,,3.56,3.83,4.17,,SAS Scandinavia,🇸🇪,Sweden,Europe,1946,48,Star Alliance,121,"27,855",18.87%,35.3,,,0 ,"12,728,232 ","5,812",years,2,1.00,0.02,2001,8.26,6.4,7,3.13,7.2,6.5,9.2,sas.se,,"$50,687",Fleet size,https://www.mro-network.com/maintenance-repair-overhaul/top-20-european-airlines-fleet-size/gallery?slide=2,Founded,http://www.planecrashinfo.com/accidents.htm,Full Loss Equivalents,http://www.airsafe.com/airline.htm,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,Flight-report.com score,https://flight-report.com/en/ranking/economy,Delays,https://www.flightstats.com/v2/monthly-performance-reports/airlines
4.58,,3.75,,4.16,,Philippine Air Lines,🇵🇭,Philippines,Asia,1941,48,,67,,,,,,0 ,"1,666,162 ",761,years,8,4.23,0.09,1994,63.13,,7,3.75,,,,philippineairlines.com,,"$2,951",Fleet size,https://en.wikipedia.org/wiki/Philippine_Airlines,Founded,http://www.planecrashinfo.com/accidents.htm,Full Loss Equivalents,http://www.airsafe.com/airline.htm,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,,,,
5.00,Never,3.66,3.50,4.16,,Finnair,🇫🇮,Finland,Europe,1923,48,OneWorld,79,,,,,,0 ,,,,0,0.00,0.00,,0.00,7,7,3.75,7,8,7.1,finnair.com,,"$43,339",Fleet size,https://en.wikipedia.org/wiki/Finnair,Founded,https://en.wikipedia.org/wiki/Finnair,Full Loss Equivalents,http://www.airsafe.com/airline.htm,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,Flight-report.com score,https://flight-report.com/en/ranking/economy,,
4.85,,3.48,,4.16,,Vietnam Airlines,🇻🇳,Vietnam,Asia,1989,29,Sky Team,86,,,,,,0 ,"2,817,320 ","1,286",years,2,1.94,0.07,1997,22.56,6.4,7,3.75,,,,vietnamair.com,,"$2,171",Fleet size,https://en.wikipedia.org/wiki/Vietnam_Airlines,Founded,http://www.planecrashinfo.com/accidents.htm,Full Loss Equivalents,http://www.airsafe.com/airline.htm,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,Flight-report.com score,https://flight-report.com/en/ranking/economy,,
5.00,Never,3.31,,4.16,,Shanghai Airlines,🇨🇳,China,Asia,1985,33,Sky Team,102,,,,,,0 ,,,,0,0.00,0.00,,0.00,7,7,3.13,,,,shanghaiairlines.com,,"$8,126",Fleet size,https://en.wikipedia.org/wiki/Shanghai_Airlines,Founded,https://en.wikipedia.org/wiki/Shanghai_Airlines,Full Loss Equivalents,http://www.airsafe.com/airline.htm,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,Flight-report.com score,https://flight-report.com/en/ranking/economy,,
4.64,,3.76,3.95,4.15,,Aeromexico,🇲🇽,Mexico,Latin America,1972,46,Sky Team,71,,,,,,0 ,"1,883,537 ",860,years,4,3.80,0.08,1986,53.52,7.9,7,3.13,7.9,6.3,9.2,aeromexico.com,,"$8,444",,,Founded,http://www.planecrashinfo.com/accidents.htm,Full Loss Equivalents,http://www.airsafe.com/airline.htm,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,Flight-report.com score,https://flight-report.com/en/ranking/economy,,
4.93,,3.40,4.00,4.13,,American Airlines,🇺🇸,United States,North America,1930,48,OneWorld,950,"195,238",18.07%,61,,,0 ,"9,913,929 ","4,527",years,13,10.08,0.21,2004,10.61,6.6,7,1.88,7.8,6.3,9.5,aa.com,,"$57,808",,,Founded,http://www.planecrashinfo.com/accidents.htm,Full Loss Equivalents,http://www.airsafe.com/airline.htm,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,Flight-report.com score,https://flight-report.com/en/ranking/economy,Delays,https://www.flightstats.com/v2/monthly-performance-reports/airlines
4.30,,4.18,3.69,4.13,,Lufthansa,🇩🇪,Germany,Europe,1926,48,Star Alliance,265,"49,140",28.50%,34,,,0 ,"19,770,128 ","9,027",years,3,1.41,0.03,2010,5.32,7.3,7,4.38,7.6,9.5,8.6,lufthansa.com,,"$42,456",Fleet size,https://www.mro-network.com/maintenance-repair-overhaul/top-20-european-airlines-fleet-size/gallery?slide=2,Founded,http://www.planecrashinfo.com/accidents.htm,Full Loss Equivalents,http://www.airsafe.com/airline.htm,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,Flight-report.com score,https://flight-report.com/en/ranking/economy,Delays,https://www.flightstats.com/v2/monthly-performance-reports/airlines
4.94,,3.32,4.02,4.11,,United Airlines,🇺🇸,United States,North America,1934,48,Star Alliance,745,"151,675",18.31%,61.9,,,0 ,"11,714,206 ","5,349",years,11,6.69,0.14,2001,8.98,6.6,7,1.88,7.9,6,8.9,united.com,,"$57,808",,,Founded,http://www.planecrashinfo.com/accidents.htm,Full Loss Equivalents,http://www.airsafe.com/airline.htm,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,Flight-report.com score,https://flight-report.com/en/ranking/economy,Delays,https://www.flightstats.com/v2/monthly-performance-reports/airlines
4.87,,3.63,3.51,4.10,,Korean Air,🇰🇷,South Korea,Asia,1984,34,Sky Team,173,"13,144",23.43%,29.6,,,0 ,"3,847,881 ","1,757",years,7,3.35,0.10,1997,19.36,7.9,7,5.00,6.4,8.3,3.7,koreanair.com,1.00,"$27,785",Fleet size,https://en.wikipedia.org/wiki/Korean_Air,Founded,http://www.planecrashinfo.com/accidents.htm,Full Loss Equivalents,http://www.airsafe.com/airline.htm,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,Flight-report.com score,https://flight-report.com/en/ranking/economy,Delays,https://www.flightstats.com/v2/monthly-performance-reports/airlines
5.00,Never,3.51,3.50,4.10,,WestJet Airlines,🇨🇦,Canada,North America,1995,23,,122,"22,073",21.88%,47,,,0 ,,,,0,0.00,0.00,,0.00,6.6,7,3.13,6.2,6.5,9.5,westjet.com,,"$42,154",,,Founded,http://www.planecrashinfo.com/accidents.htm,Full Loss Equivalents,http://www.airsafe.com/airline.htm,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,Flight-report.com score,https://flight-report.com/en/ranking/economy,Delays,https://www.flightstats.com/v2/monthly-performance-reports/airlines
4.85,,3.54,3.73,4.10,,Avianca,🇨🇴,Colombia,Latin America,1933,48,Star Alliance,173,"22,226",24.83%,51.1,,,0 ,"4,763,931 ","2,175",years,4,3.82,0.08,1990,22.08,7.4,7,3.13,7.4,6.5,7.8,avianca.com,,"$5,806",Fleet size,https://en.wikipedia.org/wiki/Avianca,Founded,http://www.planecrashinfo.com/accidents.htm,Full Loss Equivalents,http://www.airsafe.com/airline.htm,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,Flight-report.com score,https://flight-report.com/en/ranking/economy,Delays,https://www.flightstats.com/v2/monthly-performance-reports/airlines
4.87,,4.24,2.24,4.09,,Japan Airlines JAL,🇯🇵,Japan,Asia,1953,48,OneWorld,164,"25,762",10.54%,31.7,,,0 ,"5,211,930 ","2,380",years,5,3.31,0.07,1985,20.18,8.2,7,4.38,,,,jal.co.jp,,"$38,640",Fleet size,https://en.wikipedia.org/wiki/Japan_Airlines,Founded,http://www.planecrashinfo.com/accidents.htm,Full Loss Equivalents,http://www.airsafe.com/airline.htm,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,Flight-report.com score,https://flight-report.com/en/ranking/economy,Delays,https://www.flightstats.com/v2/monthly-performance-reports/airlines
5.00,Never,3.09,4.25,4.09,,Transavia,🇳🇱,Netherlands,Europe,,48,,,,,,,,0 ,,,,,,,,,7.2,7,,8.5,6.3,8.9,,,,,,,,,,,,,,Flight-report.com score,https://flight-report.com/en/ranking/economy,,
5.00,Never,3.13,,4.06,,Shenzhen Airlines,🇨🇳,China,Asia,1992,26,Star Alliance,190,,,,,,0 ,,,,0,0.00,0.00,,0.00,,7,3.13,,,,shenzhenair.com,,"$8,126",,,Founded,http://www.planecrashinfo.com/accidents.htm,Full Loss Equivalents,http://www.airsafe.com/airline.htm,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,,,,
5.00,Never,3.13,,4.06,,Hawaiian Airlines,🇺🇸,United States,North America,1929,48,,66,,,,,,0 ,,,,0,0.00,0.00,,0.00,,7,3.13,,,,hawaiianairlines.com,,"$57,808",Fleet size,https://en.wikipedia.org/wiki/Hawaiian_Airlines,Founded,http://www.planecrashinfo.com/accidents.htm,Full Loss Equivalents,http://www.airsafe.com/airline.htm,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,,,,
4.95,,4.21,1.95,4.05,,Cathay Pacific,🇭🇰,Hong Kong,Asia,1946,48,OneWorld,128,"8,313",22.12%,51,,,0 ,"13,464,576 ","6,148",years,1,1.00,0.02,1972,7.81,8.1,7,4.38,,,,cathaypacific.com,,"$43,943",Fleet size,https://en.wikipedia.org/wiki/Cathay_Pacific_fleet,Founded,http://www.planecrashinfo.com/accidents.htm,Full Loss Equivalents,http://www.airsafe.com/airline.htm,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,Flight-report.com score,https://flight-report.com/en/ranking/economy,Delays,https://www.flightstats.com/v2/monthly-performance-reports/airlines
4.88,,3.13,4.25,4.05,,Aerolineas Argentinas,🇦🇷,Argentina,Latin America,1950,48,Sky Team,58,,,,,,0 ,"6,040,729 ","2,758",years,2,1.01,0.02,1992,17.41,6.4,7,3.13,8.5,6.5,3.6,aerolineasargentinas.com,,"$12,449",Fleet size,https://en.wikipedia.org/wiki/Aerol%C3%ADneas_Argentinas,Founded,https://en.wikipedia.org/wiki/Aerol%C3%ADneas_Argentinas,Full Loss Equivalents,http://www.airsafe.com/airline.htm,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,Flight-report.com score,https://flight-report.com/en/ranking/economy,,
4.94,,3.57,3.24,4.05,,Air Canada,🇨🇦,Canada,North America,1964,48,Star Alliance,186,"49,367",25.57%,46.7,,,0 ,"12,383,362 ","5,655",years,3,1.58,0.03,1983,8.49,7.1,7,3.13,5.5,7.8,9,aircanada.com,,"$42,154",Fleet size,https://en.wikipedia.org/wiki/World%27s_largest_airlines#By_fleet_size,Founded,http://www.planecrashinfo.com/accidents.htm,Full Loss Equivalents,http://www.airsafe.com/airline.htm,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,Flight-report.com score,https://flight-report.com/en/ranking/economy,Delays,https://www.flightstats.com/v2/monthly-performance-reports/airlines
4.97,,3.13,,4.05,,Xiamen Airlines,🇨🇳,China,Asia,1984,34,Sky Team,171,,,,,,0 ,"15,926,726 ","7,272",years,1,0.80,0.02,1990,4.68,,7,3.13,,,,xiamenair.com,,"$8,126",Fleet size,https://en.wikipedia.org/wiki/XiamenAir,Founded,https://en.wikipedia.org/wiki/XiamenAir,Full Loss Equivalents,http://www.airsafe.com/airline.htm,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,,,,
5.00,Never,3.56,3.10,4.04,,Air Transat,🇨🇦,Canada,North America,1986,32,,36,,,,,,0 ,,,,0,0.00,0.00,,0.00,7.1,7,3.13,6.2,6.3,9.7,airtransat.com,,"$42,154",Fleet size,https://en.wikipedia.org/wiki/Air_Transat,Founded,https://en.wikipedia.org/wiki/Air_Transat,Full Loss Equivalents,http://www.airsafe.com/airline.htm,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,Flight-report.com score,https://flight-report.com/en/ranking/economy,,
4.29,Never,3.85,3.89,4.03,,Norwegian,🇳🇴,Norway,Europe,1993,25,A4E,74,"11,777",20.42%,42.7,,,0 ,,,,0,0.00,0.00,,0.00,7,4,3.75,7.6,7.8,8.6,norwegian.com,,"$70,617",Fleet size,https://www.mro-network.com/maintenance-repair-overhaul/top-20-european-airlines-fleet-size/gallery?slide=2,Founded,https://en.wikipedia.org/wiki/Norwegian_Air_Shuttle,Full Loss Equivalents,http://www.airsafe.com/airline.htm,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,Flight-report.com score,https://flight-report.com/en/ranking/economy,Delays,https://www.flightstats.com/v2/monthly-performance-reports/airlines
4.70,,3.25,4.16,4.01,,Iberia,🇪🇸,Spain,Europe,1940,48,OneWorld,81,"14,475",17.71%,40.6,,,0 ,"2,366,820 ","1,081",years,4,3.60,0.08,1985,44.44,6.5,7,3.75,8.4,7.8,2.3,iberia.com,,"$26,695",Fleet size,https://www.mro-network.com/maintenance-repair-overhaul/top-20-european-airlines-fleet-size/gallery?slide=2,Founded,http://www.planecrashinfo.com/accidents.htm,Full Loss Equivalents,http://www.airsafe.com/airline.htm,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,Flight-report.com score,https://flight-report.com/en/ranking/economy,Delays,https://www.flightstats.com/v2/monthly-performance-reports/airlines
5.00,Never,3.00,,4.00,,Virgin Australia,🇦🇺,Australia,Oceania,1999,19,,101,,,,,,0 ,,,,0,0.00,0.00,,0.00,,7,3.00,,,,virginaustralia.com,,"$54,069",,,Founded,http://www.planecrashinfo.com/accidents.htm,Full Loss Equivalents,http://www.airsafe.com/airline.htm,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,,,,
5.00,Never,3.02,3.96,4.00,,Vueling,🇪🇸,Spain,Europe,2004,14,,114,"19,387",29.80%,55.2,,,0 ,,,,0,0.00,0.00,,0.00,5.9,7,1.50,8.8,6,6.5,vueling.com,,"$26,695",Fleet size,https://en.wikipedia.org/wiki/Vueling,Founded,http://www.planecrashinfo.com/accidents.htm,Full Loss Equivalents,http://www.airsafe.com/airline.htm,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,Flight-report.com score,https://flight-report.com/en/ranking/economy,Delays,https://www.flightstats.com/v2/monthly-performance-reports/airlines
4.86,,3.13,,3.99,,Cebu Pacific,🇵🇭,Philippines,Asia,1995,23,Value Alliance,49,,,,,,0 ,"2,469,821 ","1,128",years,1,1.00,0.04,1998,20.41,,7,3.13,,,,cebupacific.com,,"$2,951",Fleet size,https://en.wikipedia.org/wiki/Cebu_Pacific,Founded,http://www.planecrashinfo.com/accidents.htm,Full Loss Equivalents,http://www.airsafe.com/airline.htm,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,,,,
4.76,,3.28,3.80,3.98,,Kuwait Airways,🇰🇼,Kuwait,Middle East,1957,48,,29,,,,,,0 ,"152,528,400 ","69,648",years,1,0.02,0.00,1988,0.69,,6,3.13,7.6,6,6.4,kuwaitairways.com,,"$27,229",Fleet size,https://en.wikipedia.org/wiki/Kuwait_Airways,Founded,http://www.planecrashinfo.com/accidents.htm,Full Loss Equivalents,http://www.airsafe.com/airline.htm,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,,,,
5.00,Never,3.00,3.88,3.98,,LOT Polish,,Poland,Europe,,48,Star Alliance,,"11,608",23.92%,41.5,,,0 ,,,,,,,,,6.7,7,,7.9,6.3,9.1,,,,,,,,,,,,,,Flight-report.com score,https://flight-report.com/en/ranking/economy,Delays,https://www.flightstats.com/v2/monthly-performance-reports/airlines
5.00,Never,2.89,4.05,3.97,,Croatia Airlines,,Croatia,Europe,,48,,,,,,,,0 ,,,,,,,,,,7,,8.1,6.3,8.7,,,,,,,,,,,,,,,,,
4.29,Never,3.58,,3.93,,Scoot,🇸🇬,Singapore,Asia,2003,15,Value Alliance,131,,,,,,0 ,,,,0,0.00,0.00,,0.00,6.8,4,3.75,,,,scoot.sg,,"$52,814",Fleet size,https://en.wikipedia.org/wiki/Tigerair,,,Full Loss Equivalents,http://www.airsafe.com/airline.htm,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,Flight-report.com score,https://flight-report.com/en/ranking/economy,,
4.76,Never,2.78,4.55,3.93,,UIA Ukraine International Airlines,🇺🇦,Ukraine,Europe,,48,,,,,,,,0 ,,,,,,,,,5.6,6,,9.1,4.5,8.6,,,,,,,,,,,,,,Flight-report.com score,https://flight-report.com/en/ranking/economy,,
4.92,,3.10,3.45,3.90,,TAP Portugal,🇵🇹,Portugal,Europe,1945,48,Star Alliance,63,,,,,,0 ,"8,283,870 ","3,783",years,1,0.80,0.02,1977,12.70,6.7,7,2.50,6.9,6.3,6.1,tapportugal.com,,"$19,750",Fleet size,https://www.mro-network.com/maintenance-repair-overhaul/top-20-european-airlines-fleet-size/gallery?slide=2,Founded,http://www.planecrashinfo.com/accidents.htm,Full Loss Equivalents,http://www.airsafe.com/airline.htm,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,Flight-report.com score,https://flight-report.com/en/ranking/economy,,
3.97,,3.79,3.92,3.89,,Air France,🇫🇷,France,Europe,1933,48,Sky Team,226,"29,087",18.10%,36.7,,,0 ,"5,620,187 ","2,566",years,8,4.23,0.09,2009,18.72,7.3,6,3.75,7.5,7.8,7.8,airfrance.com,,"$36,826",Fleet size,https://www.mro-network.com/maintenance-repair-overhaul/top-20-european-airlines-fleet-size/gallery?slide=2,Founded,http://www.planecrashinfo.com/accidents.htm,Full Loss Equivalents,http://www.airsafe.com/airline.htm,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,Flight-report.com score,https://flight-report.com/en/ranking/economy,Delays,https://www.flightstats.com/v2/monthly-performance-reports/airlines
5.00,Never,2.78,,3.89,,Pegasus Airlines,🇹🇷,Turkey,Middle East,1990,28,,75,,,,,,0 ,,,,0,0.00,0.00,,0.00,6.1,7,2.50,,,,pegasusairlines.com,,,Fleet size,https://en.wikipedia.org/wiki/Pegasus_Airlines,Founded,https://en.wikipedia.org/wiki/Pegasus_Airlines,Full Loss Equivalents,http://www.airsafe.com/airline.htm,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,Flight-report.com score,https://flight-report.com/en/ranking/economy,,
4.88,Never,3.00,3.65,3.88,,Oman Air,🇴🇲,Oman,Middle East,,48,,,,,,,,0 ,,,,,,,,,7.2,6.5,,7.3,7.8,7.7,,,,,,,,,,,,,,Flight-report.com score,https://flight-report.com/en/ranking/economy,,
4.29,Never,3.26,4.25,3.87,,Jet2,🇬🇧,United Kingdom,Europe,1983,35,A4E,85,,,,,,0 ,,,,0,0.00,0.00,,0.00,,4,3.50,8.5,6.8,3.8,jet2.com,,"$40,249",Fleet size,https://en.wikipedia.org/wiki/Jet2.com,,,,,GDP per Capita (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita,Airhelp score,https://www.airhelp.com/en/airhelp-score/airline-ranking/,,,,
